,bmiz06,whz06,waz06,haz06
shannon_exp,-0.004600820990318216,0.01951316122350113,0.0551337849544693,0.032871796732668365
simpson_exp,-0.02528101641742932,0.031556279680354675,0.06686842888636153,0.05299887934311128
sh_cereals_exp,0.038502273473542625,-0.006789810426911077,-0.03938349329616738,-0.045476951922193636
sh_roots_exp,-0.029235566005403706,0.011876891743836477,0.016820741118859988,0.027178125382907942
sh_veg_exp,-0.016205276088719734,-0.045776558755787816,-0.123250645376083,-0.0899200849473774
sh_fruits_exp,-0.05012091271297614,-0.0036680935229663233,0.045705726981870795,0.07702595153849223
sh_meat_exp,-0.05798383694004187,-0.040301132403231466,-0.1122021855746614,-0.07052872284016534
sh_eggs_exp,-0.055850851183143535,-0.0041523233445519385,-0.008234538109874666,0.022105216820141577
sh_fish_exp,-0.022648410724586735,0.01227777384432681,-0.05093621764029183,-0.03975131773671141
sh_pulses_exp,-0.00037131996855878304,-0.014583250669790613,-0.04515103748328201,-0.04830212603907569
sh_milk_exp,0.420114846329216,0.23576435535302692,0.35471679750122953,-0.12576756511444023
sh_oil_exp,0.004203030666065052,0.006417610895766001,0.010974823876576176,0.018492292647329163
sh_sugar_exp,-0.08961386845014209,-0.07684679817602526,-0.005039928629904637,0.10512318704102591
sh_misc_exp,-0.028710819837006702,-0.024567900718887006,-0.010490636235852065,0.011089514715552579
foodvalue_totalyr,-0.0005964715891596602,0.024002604239448954,0.10962434156517045,0.10418548450202672
hhexpend,-0.0005580633453846309,0.0240470353740855,0.10964857712755932,0.1041623311179184
wealth,0.03939827553663757,0.05860615425317956,0.10526445664965334,0.03954317440153186
agwealth,0.07357589873380166,0.059944083555240044,0.04628504484129969,-0.02794665338601928
nonagwealth,0.01680086975784706,0.046923224438498896,0.10905573747659239,0.060567211325172024
purch_val,0.06480793863366627,0.11112494289359102,0.07538786847579135,-0.030249794460826367
tot_kcal_cons,0.024956922124903268,0.05145356944573397,0.05384126818948105,0.009062205849980291
purch_kcal_cons,0.024483410581573207,0.05293769102649572,0.025455203865080146,-0.024028460192708052
own_kcal_cons,0.09039689814616654,0.10422941419557141,0.09663203240198213,-0.0035240470946276982
