,stunted_correlation,stunted_p_vals,underweight_correlation,underweight_p_vals,wasting_correlation,wasting_p_vals,bmi_correlation,bmi_p_vals
purch_leu_cons,-0.027402854643012085,0.5243791616998265,-0.021453419312386587,0.617905716329789,0.011870780466164648,0.7841312031544078,0.0029816360654460992,0.9448377215307472
own_leu_cons,0.0021609591902765923,0.9599686140081336,0.09928487786749106,0.020669901298871775,0.09694707462433053,0.024933478112797256,0.08725778318470301,0.04248470103238244
gift_leu_cons,0.051148339993354955,0.23451518468426588,0.03812312909551162,0.3752759621699465,-0.011106897518045809,0.7977112426308193,-0.015058577035441967,0.7267415576176708
tot_lys_cons,-0.011494413492107418,0.7894759202996031,-0.009396500291042277,0.8270700420352682,0.007687187197047531,0.8592005723130487,0.00017656587234443977,0.9967308220510729
purch_lys_cons,-0.01598769134649591,0.7103603655491386,-0.0183391116523313,0.6698195722045059,0.0029738284644362286,0.9452888206674208,-0.003208110192398397,0.940655238362722
own_lys_cons,0.0027784491205541987,0.948543790792439,0.1034784155851804,0.015856005139399304,0.09673367274659235,0.02525548036340297,0.08455078348899174,0.049347943320672
gift_lys_cons,0.06532888237866571,0.12875585120394617,0.04774902972510574,0.2666825925655963,-0.008296159903979661,0.8481768076025905,-0.01888510421138644,0.6611837505944482
tot_met_cons,-0.016645848675312495,0.6990062149408964,-0.006195596392264255,0.8854683293778621,0.01660511133916687,0.7015674623946543,0.006457993235717318,0.880872529478841
purch_met_cons,-0.022009563132998053,0.6091541423131344,-0.018195054463707224,0.6722619386174917,0.009935972906903333,0.8186452047574702,0.0009084321429186589,0.9831812612215729
own_met_cons,0.0069656841567870085,0.8714673583949781,0.10629603984580645,0.013202295297646561,0.09855294522012506,0.022622119814172992,0.08773242447005851,0.041368376789773245
gift_met_cons,0.061763528788758036,0.15101327233277786,0.04217078221293908,0.32666642772390797,-0.015134683806166322,0.7268885227810368,-0.02016709016062475,0.639757997275284
tot_cys_cons,-0.015010667716892027,0.7273336226724426,-0.003345689029467844,0.9380006637377747,0.014119615456596216,0.7445453993084337,0.008930011668299168,0.8358298640907784
purch_cys_cons,-0.02164554784623324,0.6150885969791631,-0.024800774091940522,0.5641600439447636,0.0005258326163399597,0.9903186291330589,-0.003101841744260848,0.9426175886382188
own_cys_cons,-0.012429977542521045,0.772792567329365,0.07902023798184986,0.06576930539191178,0.08442382159913275,0.05098017391065985,0.08129010812796664,0.05882293469666871
gift_cys_cons,0.043263215256867264,0.3147275269099092,0.04100444890826738,0.34023569038683465,-0.00018664929662493457,0.9965634316809409,-0.006618428145666818,0.8779359162703078
tot_phe_cons,-0.021736960492087846,0.61359593431206,-0.001175403382929514,0.9781992697286933,0.026354809494903552,0.5430094996559638,0.014335490382264266,0.7393751968177439
purch_phe_cons,-0.02783588029192528,0.5178433926576658,-0.018655013655210398,0.6644759258714036,0.015501470639332585,0.720543199079607,0.005081556704931382,0.9061299580820192
own_phe_cons,-0.008761186626938783,0.8387432674349682,0.08571140231355144,0.04589580695720358,0.09005918409543981,0.03730267217718644,0.0833412890941531,0.052701751200618936
gift_phe_cons,0.04631940605484913,0.2817281280411316,0.039968215667409136,0.352589124231814,-0.0032257308152396098,0.9406626287392543,-0.009847886910453402,0.8192328817137293
